USERID;AGENTID;CSESSION;PCTDELAY;CTALKING_I;CTALKING_O;CTALKING;PCTTALKING;CACW;PCTACW;CALLS_I;CALLS_O;CALLS;CONEXAVG_I;CONEXAVG_O;CONEXAVG;CWAITING;PCTWAITING;PCTABC;CDND;PCTDND;CDELAY;XFER;XFERED;THRCOUNT;CTHRTALKING;CHOLD;CCNSTIME;CNSNUM;CCNSEDTIME;CNSEDNUM;CCNSNOHTIME;CNSNOHNUM;ALOGIN;TOTLOGIN;NOANSWER;
137;MPARLAG;183:22:53;0.15;07:42:22;18:30:13;26:12:35;14.29;00:23:16;0.21;142;274;416;00:03:15;00:04:03;00:03:46;101:50:21;55.53;70.18;54:35:23;29.82;00:17:33;15;8;45;00:00:37;00:25:45;00:01:12;15;00:03:45;15;00:01:56;4;660173;18793106;6;
112;LMARTINEZ;177:57:55;0.06;03:22:42;14:57:41;18:20:23;10.3;00:13:53;0.13;35;378;413;00:05:47;00:02:22;00:02:39;46:24:06;26.07;36.56;112:52:01;63.44;00:06:48;3;7;37;00:01:01;00:18:54;00:00:12;3;00:00:44;8;00:04:34;11;640675;12826487;1;
165;AFERREYRA;141:28:21;0.12;04:36:54;13:46:46;18:23:40;13;00:09:49;0.11;85;309;394;00:03:15;00:02:40;00:02:48;114:49:08;81.15;94.38;07:54:02;5.62;00:10:56;5;7;19;00:00:16;00:00:33;00:00:21;5;00:00:46;11;00:02:02;2;509301;29539966;0;
143;AGAMEZ;167:53:50;0.09;05:44:14;12:42:39;18:26:53;10.98;00:23:07;0.22;69;263;332;00:04:59;00:02:53;00:03:20;85:34:39;50.97;62.26;63:18:19;37.74;00:09:08;6;16;21;00:00:33;00:00:46;00:00:25;6;00:01:44;18;00:00:00;0;604430;19960484;3;
115;MPISANI;156:22:59;0.18;07:51:36;09:53:43;17:45:19;11.35;00:07:25;0.07;133;189;322;00:03:32;00:03:08;00:03:18;101:07:52;64.66;76.26;36:55:11;23.74;00:17:09;23;26;36;00:00:40;00:23:17;00:02:35;23;00:10:03;30;00:01:22;2;562979;13845580;5;
87;SMARTINEZ;164:13:47;0.19;10:13:37;13:30:41;23:44:18;14.45;00:37:22;0.37;141;177;318;00:04:21;00:04:34;00:04:28;99:48:11;60.77;75.78;39:41:19;24.22;00:19:05;49;23;41;00:00:27;00:24:42;00:06:01;51;00:03:32;28;00:20:31;1;591227;8466989;16;
175;GSEMONI;170:28:00;0.09;04:29:16;10:53:30;15:22:46;9.02;00:36:31;0.35;49;247;296;00:05:29;00:02:38;00:03:07;57:45:28;33.88;43.34;96:32:58;56.66;00:09:54;12;5;12;00:00:14;00:43:04;00:00:56;13;00:00:23;6;00:00:27;1;613680;34488391;1;
179;JFONTAN;162:48:52;0.19;09:36:41;08:30:21;18:07:02;11.12;00:10:33;0.1;116;180;296;00:04:58;00:02:50;00:03:40;123:45:21;76.01;87.42;20:25:12;12.58;00:19:14;9;3;38;00:00:32;00:11:13;00:06:29;10;00:01:30;8;00:01:43;5;586132;36224775;3;
29;VGARRAMONE;200:39:21;0.02;00:03:09;28:22:51;28:26:00;14.17;00:08:11;0.06;0;267;267;00:00:00;00:06:22;00:06:23;00:32:45;0.27;14.52;171:29:15;85.48;00:02:59;0;1;16;00:00:46;00:00:00;00:00:00;0;00:00:11;1;00:00:00;0;722361;1286532;0;
192;IESTIVILL;66:58:55;0.04;00:03:09;04:14:05;04:17:14;6.4;00:02:29;0.06;1;238;239;00:03:09;00:01:04;00:01:04;01:34:13;2.34;8.84;61:03:20;91.16;00:01:39;0;0;14;00:00:24;00:01:33;00:00:00;0;00:00:00;0;00:03:33;4;241135;38829521;0;
114;MAMARTINS;126:41:54;0.07;01:04:51;13:37:10;14:42:01;11.6;00:06:38;0.08;10;226;236;00:06:29;00:03:36;00:03:44;24:00:25;18.94;30.69;87:45:58;69.31;00:05:45;2;10;15;00:00:30;00:01:19;00:00:10;2;00:01:07;10;00:00:00;0;456114;13282601;4;
90;MGONZALEZ;162:33:23;0.12;03:57:12;07:26:59;11:24:11;7.01;00:06:01;0.06;80;155;235;00:02:57;00:02:53;00:02:54;102:42:53;63.18;70.37;48:07:09;29.63;00:11:53;4;0;37;00:00:47;00:25:35;00:00:31;4;00:01:16;4;00:03:01;6;585203;9352044;6;
149;DHOBERT;148:32:54;0.08;02:32:18;11:17:37;13:49:55;9.31;00:12:40;0.14;48;185;233;00:03:10;00:03:39;00:03:33;45:08:03;30.38;39.91;89:13:00;60.09;00:07:08;10;8;27;00:00:24;00:11:44;00:02:12;13;00:02:08;12;00:22:36;5;534774;22280670;4;
153;AONORATI;143:44:46;0.07;01:59:13;09:32:46;11:31:59;8.02;00:03:45;0.04;30;194;224;00:03:58;00:02:57;00:03:05;47:51:52;33.29;41.42;84:09:10;58.58;00:06:12;6;9;16;00:00:15;00:01:43;00:00:54;6;00:01:48;12;00:00:47;2;517486;24321743;1;
147;MGUERRERO;152:07:55;0.14;04:30:11;05:04:22;09:34:33;6.29;00:11:16;0.12;86;130;216;00:03:08;00:02:20;00:02:39;98:17:20;64.6;71.15;43:45:34;28.85;00:13:18;5;2;33;00:00:46;00:33:39;00:00:32;5;00:05:54;6;00:17:35;3;547675;21745896;2;
106;MGANDARA;185:34:18;0.06;03:10:09;06:35:02;09:45:11;5.25;00:13:17;0.11;65;149;214;00:02:55;00:02:39;00:02:44;121:53:34;65.68;71.1;53:33:31;28.9;00:07:37;4;7;24;00:00:28;00:10:23;00:00:31;4;00:01:08;11;00:12:57;3;668058;11857336;2;
154;FGANDARA;178:54:38;0.08;04:04:15;07:49:27;11:53:42;6.64;00:26:13;0.24;62;144;206;00:03:56;00:03:15;00:03:27;121:01:08;67.64;74.6;45:22:37;25.4;00:08:48;1;10;12;00:00:13;00:00:09;00:00:08;1;00:02:10;11;00:00:24;1;644078;24965821;1;
135;MILOPEZ;154:55:41;0.07;04:08:21;07:53:19;12:01:40;7.76;00:10:41;0.11;36;167;203;00:06:53;00:02:50;00:03:33;86:31:50;55.85;63.79;56:02:24;36.21;00:06:38;7;11;13;00:00:17;00:19:46;00:00:51;6;00:02:28;14;00:00:00;0;557741;17694175;1;
177;ALUIZ;154:20:29;0.06;01:44:33;09:35:40;11:20:13;7.34;00:04:18;0.04;27;173;200;00:03:52;00:03:19;00:03:24;131:43:49;85.34;92.78;11:06:15;7.22;00:05:47;16;1;20;00:00:43;00:02:27;00:00:39;16;00:00:07;2;00:01:47;1;555629;35044020;4;
