ICD10; descripci ¢ n ;;;;,ICD10; Descriptci ¢ n ;;;;;
A00; cólera ;;;;,A00; cólera ;;;;
A01; fiebres tifoides y paratifoides ;;;;,A01; febre tifóide e paratifóide ;;;;;
A02; Otras infecciones de Salmonella ;;;;,A02; outras infecções por Salmonella ;;;;
A03; shigelosis ;;;;,A03; Shigelosis ;;;;
A04; Otras infecciones intestinales bacterianas ;;;;,A04; outras infecções intestinais bacterianas ;;;;;
A05; Otras intoxicaciones bacterianas transmitidas por los alimentos,A05; outras intoxicações bacterianas transmitidas por alimentos
A06; amebiasis ;;;;,A06; amebíase ;;;;
A07; Otras enfermedades intestinales de protozoos ;;;;;,A07; outras doenças intestinais protozoais ;;;;;
A08; Viral y otras infecciones intestinales especificadas ;;;;,A08; infecções intestinais virais e outras especificadas ;;;;;
A09; gastroenteritis y colitis infecciosas,A09; gastroenterite e colite infecciosa
A15; tuberculosis respiratoria ;;;;,A15; tuberculose respiratória ;;;;;
A17; tuberculosis del sistema nervioso ;;;;,A17; tuberculose do sistema nervoso ;;;;;
A18; tuberculosis de otros órganos ;;;;,A18; tuberculose de outros órgãos ;;;;
A19; tuberculosis miliar ;;;;,A19; tuberculose miliary ;;;;;
A20; peste ;;;;,A20; Praga ;;;;
A21; Tularemia ;;;;,A21; tularemia ;;;;
A22; ántrax ;;;;,A22; Anthrax ;;;;
A23; Brucelosis ;;;;,A23; Brucelose ;;;;
A24; Glanders y Melioidosis ;;;;;,A24; GLANDES E MELIOIDOSE ;;;;;
A25; fiebres de mordeduras de rata ;;;;,A25; febres de mordida de rato ;;;;
A26; erysipeloid ;;;;,A26; erysipeloid ;;;;
A27; Leptospirosis ;;;;,A27; leptospirose ;;;;
A28; otras enfermedades bacterianas zoonóticas,A28; outras doenças bacterianas zoonóticas
A30; lepra [enfermedad de Hansen] ;;;;,A30; hanseníase [doença de Hansen] ;;;;;
A31; infección debido a otras micobacterias ;;;;,A31; infecção devido a outras micobactérias ;;;;
A32; listeriosis ;;;;,A32; Listerioseis ;;;;
A33; tétanos neonatorum ;;; amplio,A33; TETANUS neonatorum ;;
A34; tétanos obstétricos ;;;;,A34; tétano obstétrico ;;;;;
A35; otro tétanos ;;;;,A35; outro tétano ;;;;
A36; difteria ;;;;,A36; Diphteria ;;;;
A37; tos ferina ;;;;,A37; tosse convulsa ;;;;;
A38; escarlata ;;;;,A38; Febre escarlatina ;;;;
A39; infección meningocócica ;;;;,A39; infecção meningocócica ;;;;;
A40; sepsis estreptocócica ;;;;,A40; sepse estreptocócica ;;;;;
A41; otro sepsis ;;;;,A41; outra sepse ;;;;
A42; actinomicosis ;;;;,A42; Actinomicose ;;;;
A43; nocardiosis ;;;;;;;;;;,A43; nocardiose ;;;;;;;;;;
A44; Bartonelosis ;;;;,A44; Bartonelose ;;;;
A46; Erysipelas ;;;;,A46; erysipelas ;;;;
A48; otras enfermedades bacterianas,A48; outras doenças bacterianas
A49; Infección bacteriana del sitio no especificado ;;;;,A49; infecção bacteriana do local não especificado ;;;;
A50; sífilis congénita ;;;;,A50; sífilis congênita ;;;;
A51; sífilis temprana ;;;;,A51; sífilis precoce ;;;;
A52; sífilis tardía ;;;;,A52; Sífilis tardio ;;;;
A53; otra sífilis no especificada ;;;;,A53; outra e não especificada sífilis ;;;;
A54; infección gonocócica ;;;;,A54; infecção gonocócica ;;;;;
